[369, '99.31']
[355, '99.23']
[353, '99.15']
[348, '98.95']
[367, '98.92']
[358, '98.92']
[356, '98.92']
[363, '98.89']
[359, '98.84']
[325, '98.84']
[357, '98.69']
[194, '98.61']
[372, '98.60']
[137, '98.30']
[351, '98.23']
[354, '98.19']
[283, '97.95']
[368, '97.53']
[322, '97.46']
[398, '97.44']
[352, '96.99']
[16, '96.99']
[349, '96.98']
[280, '96.92']
[34, '96.84']
[133, '96.68']
[6, '96.68']
[257, '96.54']
[175, '96.54']
[104, '96.53']
[116, '96.45']
[268, '96.44']
[75, '96.22']
[9, '96.06']
[408, '95.93']
[350, '95.89']
[15, '95.76']
[362, '95.67']
[366, '95.48']
[192, '95.45']
[32, '95.36']
[294, '95.22']
[58, '95.21']
[295, '95.00']
[308, '94.98']
[309, '94.89']
[4, '94.76']
[223, '94.70']
[236, '94.65']
[360, '94.57']
[347, '94.55']
[316, '94.51']
[206, '94.43']
[267, '94.35']
[89, '94.34']
[380, '94.29']
[203, '94.17']
[241, '94.13']
[37, '94.12']
[286, '94.10']
[187, '93.99']
[24, '93.99']
[122, '93.87']
[285, '93.86']
[132, '93.84']
[143, '93.80']
[409, '93.77']
[7, '93.76']
[279, '93.70']
[114, '93.65']
[290, '93.61']
[134, '93.49']
[311, '93.43']
[19, '93.38']
[361, '93.32']
[73, '93.26']
[191, '93.17']
[365, '93.04']
[291, '92.81']
[370, '92.71']
[123, '92.65']
[129, '92.42']
[136, '92.39']
[117, '92.28']
[271, '92.15']
[251, '92.00']
[393, '91.96']
[183, '91.91']
[315, '91.52']
[179, '91.48']
[404, '91.22']
[159, '91.07']
[158, '91.07']
[72, '91.00']
[204, '90.96']
[128, '90.75']
[331, '90.72']
[153, '90.52']
[259, '90.43']
[258, '90.39']
[29, '90.31']
[40, '90.29']
[213, '90.18']
[298, '90.01']
[226, '90.01']
[384, '90.00']
[220, '89.89']
[269, '89.63']
[11, '89.54']
[397, '89.52']
[399, '89.51']
[281, '89.51']
[297, '89.26']
[121, '89.24']
[275, '88.94']
[51, '88.69']
[284, '88.43']
[296, '88.25']
[48, '88.22']
[185, '88.10']
[27, '88.07']
[199, '87.91']
[405, '87.63']
[293, '87.63']
[222, '87.60']
[334, '87.57']
[336, '87.50']
[208, '87.47']
[26, '87.40']
[211, '87.26']
[340, '87.18']
[373, '87.11']
[35, '86.97']
[317, '86.95']
[142, '86.93']
[99, '86.93']
[343, '86.83']
[266, '86.81']
[157, '86.58']
[169, '86.50']
[274, '86.47']
[338, '86.33']
[270, '86.29']
[162, '86.23']
[304, '86.21']
[20, '86.03']
[379, '85.96']
[171, '85.83']
[115, '85.78']
[50, '85.78']
[210, '85.77']
[81, '85.71']
[225, '85.69']
[219, '85.65']
[155, '85.55']
[364, '85.49']
[144, '85.49']
[327, '85.28']
[329, '85.25']
[52, '85.25']
[239, '85.09']
[256, '85.07']
[250, '85.07']
[300, '85.04']
[145, '85.03']
[140, '85.00']
[86, '84.92']
[28, '84.92']
[227, '84.91']
[174, '84.66']
[49, '84.65']
[154, '84.62']
[45, '84.59']
[313, '84.40']
[262, '84.07']
[184, '84.07']
[127, '84.06']
[146, '84.02']
[289, '83.94']
[232, '83.67']
[160, '83.40']
[292, '83.08']
[421, '83.02']
[216, '82.52']
[249, '82.46']
[198, '82.14']
[33, '81.69']
[375, '81.67']
[378, '81.59']
[120, '81.51']
[102, '81.51']
[389, '81.42']
[287, '81.42']
[209, '81.39']
[201, '81.36']
[5, '81.24']
[263, '80.99']
[44, '80.76']
[46, '80.40']
[173, '80.09']
[43, '80.08']
[228, '80.05']
[254, '80.00']
[218, '79.71']
[25, '79.71']
[66, '79.45']
[324, '79.17']
[42, '79.13']
[260, '79.12']
[149, '79.03']
[82, '79.03']
[371, '78.87']
[56, '78.74']
[85, '78.46']
[273, '78.40']
[152, '78.20']
[78, '78.01']
[170, '77.92']
[131, '77.85']
[310, '77.81']
[344, '77.71']
[63, '77.65']
[301, '77.55']
[3, '77.45']
[1, '77.44']
[196, '77.43']
[339, '77.36']
[118, '77.14']
[390, '77.12']
[130, '77.10']
[332, '76.79']
[382, '76.53']
[80, '76.50']
[177, '76.42']
[417, '76.39']
[276, '76.25']
[253, '75.95']
[243, '75.81']
[277, '75.44']
[38, '75.09']
[151, '75.07']
[182, '75.00']
[8, '74.86']
[255, '74.79']
[22, '74.79']
[288, '74.61']
[233, '74.59']
